0.['const', 'sum', '16', '32', 'softplus', 'gat_sym', 'mlp', '1', '64', 'relu6']: feedback:10.1520 L_1:10.5377 L_2:10.1520 M_1:0.0030 M_2:0.0000 S_1:10.5346 S_2:0.0000
0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'sum', '4', '8', 'elu']: feedback:3.8658 L_1:6.2733 L_2:3.8658 M_1:-0.1734 M_2:0.0000 S_1:8.0070 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'cos', 'sum', '6', '16', 'leaky_relu']: feedback:3.3504 L_1:6.1377 L_2:3.3504 M_1:-0.1566 M_2:0.0000 S_1:7.7037 S_2:0.0000
0.['gat_sym', 'mean', '4', '8', 'linear', 'gcn', 'max', '2', '256', 'sigmoid']: feedback:7.6323 L_1:7.6007 L_2:7.6323 M_1:-0.0000 M_2:0.0000 S_1:7.6009 S_2:0.0000
0.['const', 'mean', '16', '32', 'elu', 'const', 'sum', '4', '128', 'linear']: feedback:-0.4697 L_1:4.3749 L_2:-0.4697 M_1:-0.3190 M_2:0.0000 S_1:7.5648 S_2:0.0000
0.['cos', 'max', '4', '128', 'sigmoid', 'gat_sym', 'mlp', '16', '64', 'relu6']: feedback:7.7623 L_1:7.1497 L_2:7.7623 M_1:-0.0662 M_2:0.0000 S_1:7.8115 S_2:0.0000
0.['gat', 'sum', '6', '64', 'relu6', 'linear', 'mean', '8', '64', 'softplus']: feedback:7.4203 L_1:7.6287 L_2:7.4203 M_1:0.0028 M_2:0.0000 S_1:7.6009 S_2:0.0000
0.['gcn', 'sum', '1', '256', 'tanh', 'generalized_linear', 'max', '1', '32', 'tanh']: feedback:3.4832 L_1:5.6262 L_2:3.4832 M_1:-0.1970 M_2:0.0000 S_1:7.5960 S_2:0.0000
0.['generalized_linear', 'mlp', '8', '16', 'linear', 'gat', 'mean', '4', '8', 'elu']: feedback:4.6122 L_1:6.8663 L_2:4.6122 M_1:-0.1251 M_2:0.0000 S_1:8.1168 S_2:0.0000
0.['gat_sym', 'max', '2', '64', 'softplus', 'const', 'max', '2', '64', 'sigmoid']: feedback:7.1677 L_1:7.4921 L_2:7.1677 M_1:-0.0110 M_2:0.0000 S_1:7.6023 S_2:0.0000
0.['const', 'mean', '16', '8', 'relu6', 'cos', 'mean', '4', '64', 'relu6']: feedback:3.4120 L_1:6.0291 L_2:3.4120 M_1:-0.1577 M_2:0.0000 S_1:7.6060 S_2:0.0000
0.['gat', 'max', '8', '16', 'softplus', 'const', 'sum', '1', '32', 'elu']: feedback:4.8134 L_1:5.9002 L_2:4.8134 M_1:-0.1564 M_2:0.0000 S_1:7.4646 S_2:0.0000
0.['const', 'mean', '2', '64', 'relu6', 'gat', 'max', '4', '16', 'softplus']: feedback:7.2127 L_1:7.4865 L_2:7.2127 M_1:0.0109 M_2:0.0000 S_1:7.3777 S_2:0.0000
0.['cos', 'mean', '4', '8', 'linear', 'gcn', 'mean', '8', '8', 'leaky_relu']: feedback:4.6810 L_1:6.4907 L_2:4.6810 M_1:-0.1099 M_2:0.0000 S_1:7.5902 S_2:0.0000
0.['gcn', 'mlp', '16', '128', 'tanh', 'cos', 'sum', '4', '128', 'tanh']: feedback:7.2244 L_1:5.8948 L_2:7.2244 M_1:-0.1700 M_2:0.0000 S_1:7.5948 S_2:0.0000
